"url","imobiliaria","data_extracao","TITULO","TEMPO_PUBLICADO","DESCRICAO","ALUGUEL","CONDOMINIO","IPTU","SEGURO_INCENDIO","TAXA_SERVICO","TOTAL","ENDERECO","AREA","QUARTOS","BANHEIROS","GARAGENS","ANDAR","ACEITA_PET","MOBILIADO","ESTACAO_PROX","ITENS_DISP","ITENS_INDISP","NOME_CONDOMINIO","COND_ITENS_DISP","COND_ITENS_INDISP","COMPRA"
"https://www.quintoandar.com.br/imovel/893425669/alugar/kitnet-1-quarto-santo-amaro-sao-paulo","quintoandar","2025-03-22 14:07:41.409215","Studio para alugar com 17m², 1 quarto e sem vaga","Publicado há 22 dias","Imóvel aconchegante para alugar com 1 quarto, sendo 1 suíte, e 1 banheiro no total. O condomínio fica localizado em Avenida Morumbi no bairro Santo Amaro em São Paulo. Está bem localizado, próximo a pontos de interesse de Santo Amaro, tais como Beatíssima Virgem Maria, Escolinha das Acácias, Business School São Paulo, UAM - Anhembi Morumbi, Estação Brooklin e Escola M. Dias.","R$ 1.300","Incluso","R$ 0","R$ 17","R$ 33","R$ 1.350","Avenida Morumbi
Santo Amaro, São Paulo","17 m²","1 quarto","1 banheiro","-","Até 3° andar","Aceita pet","Sem mobília","Metrô próx.","Itens disponíveis
Armários na cozinha
Fogão incluso
Geladeira inclusa
Área de serviço","Itens indisponíveis
Banheira de hidromassagem
Box
Varanda
Piscina privativa
Armários no quarto
Armários nos banheiros
Ar condicionado
Chuveiro a gás
Apartamento cobertura
Banheiro adaptado
Closet
Cozinha americana
Home-office
Jardim
Quartos e corredores com portas amplas
Quintal
Somente uma casa no terreno","","","","N/A"
"https://www.quintoandar.com.br/imovel/893425703/alugar/apartamento-1-quarto-santo-amaro-sao-paulo","quintoandar","2025-03-22 14:07:41.409215","Apartamento para alugar com 18m², 1 quarto e sem vaga","Publicado há 1 dia","Imóvel aconchegante para alugar com 1 quarto e 1 banheiro no total. O condomínio fica localizado em Avenida Morumbi no bairro Santo Amaro em São Paulo. Está bem localizado, próximo a pontos de interesse de Santo Amaro, tais como UAM - Anhembi Morumbi, Business School São Paulo, Escola M. Dias, Beatíssima Virgem Maria, Shopping Morumbi e Escolinha das Acácias.","R$ 1.150","Incluso","R$ 0","R$ 15","R$ 29","R$ 1.194","Avenida Morumbi
Santo Amaro, São Paulo","18 m²","1 quarto","1 banheiro","-","Até 3° andar","Aceita pet","Sem mobília","Metrô próx.","Gratuito
Entenda se é um bom negócio com a análise QPreço
Tenha acesso a informações exclusivas sobre o mercado imobiliário para tomar a melhor decisão
Desbloquear análise completa
Faixa de preço estimada
R$
R$
Saiba como estimamos os valores","N/A","","","","N/A"
"https://www.quintoandar.com.br/imovel/893116744/alugar/kitnet-1-quarto-brooklin-paulista-sao-paulo","quintoandar","2025-03-22 14:07:41.409215","Studio para alugar com 20m², 1 quarto e sem vaga","Publicado há 5 meses","Imóvel aconchegante para alugar com 1 quarto, sendo 1 suíte, e 1 banheiro no total. O condomínio fica localizado em Avenida Santo Amaro no bairro Brooklin Paulista em São Paulo. Está bem localizado, próximo a pontos de interesse de Brooklin Paulista, tais como Beatíssima Virgem Maria, Escolinha das Acácias, Estação Campo Belo, DeRose Method Brooklin, Estação Brooklin e Business School São Paulo.","R$ 1.600","R$ 250","R$ 0","R$ 21","R$ 41","R$ 1.912","Avenida Santo Amaro
Brooklin Paulista, São Paulo","20 m²","1 quarto","1 banheiro","-","Até 3° andar","Não aceita","Mobiliado","Metrô próx.","Itens disponíveis
Box
Armários no quarto
Armários na cozinha
Geladeira inclusa","Itens indisponíveis
Banheira de hidromassagem
Varanda
Piscina privativa
Armários nos banheiros
Ar condicionado
Chuveiro a gás
Apartamento cobertura
Fogão incluso
Banheiro adaptado
Closet
Cozinha americana
Home-office
Jardim
Quartos e corredores com portas amplas
Quintal
Somente uma casa no terreno
Área de serviço
Garden/Área Privativa","","","","N/A"
"https://www.quintoandar.com.br/imovel/894547642/alugar/kitnet-0-quarto-santo-amaro-sao-paulo","quintoandar","2025-03-22 14:07:41.409215","Studio para alugar com 22m², 0 quarto e sem vaga","Publicado há 1 mês","Imóvel espaçoso para alugar com 1 quarto e 1 banheiro no total. Este imóvel está bem equipado, é ideal para quem procura conforto e comodidade. O condomínio fica localizado em Rua Chafic Maluf no bairro Santo Amaro em São Paulo. Está bem localizado, próximo a pontos de interesse de Santo Amaro, tais como Shopping Morumbi, UAM - Anhembi Morumbi, Business School São Paulo, Universidade Paulista, Interagir e Beatíssima Virgem Maria.","R$ 1.620","Incluso","R$ 0","R$ 21","R$ 41","R$ 1.682","Rua Chafic Maluf
Santo Amaro, São Paulo","22 m²","0 quarto","1 banheiro","-","Até 3° andar","Aceita pet","Mobiliado","Não próx.","Itens disponíveis
Armários no quarto
Armários nos banheiros
Armários na cozinha
Fogão incluso
Geladeira inclusa
Cozinha americana
Área de serviço","Itens indisponíveis
Banheira de hidromassagem
Box
Varanda
Piscina privativa
Ar condicionado
Chuveiro a gás
Apartamento cobertura
Banheiro adaptado
Closet
Home-office
Jardim
Quartos e corredores com portas amplas
Quintal
Somente uma casa no terreno
Garden/Área Privativa","","","","N/A"
"https://www.quintoandar.com.br/imovel/894814475/alugar/casa-1-quarto-vila-cordeiro-sao-paulo","quintoandar","2025-03-22 14:07:41.409215","Casa para alugar com 48m², 1 quarto e sem vaga","Publicado há 14 dias","","R$ 1.900","Incluso","R$ 0","R$ 32","R$ 49","R$ 1.981","Rua João Amaro
Vila Cordeiro, São Paulo","48 m²","1 quarto","1 banheiro","-","-","Não aceita","Sem mobília","Não próx.","Itens disponíveis
Box
Armários no quarto
Armários na cozinha
Quartos e corredores com portas amplas
Quintal
Área de serviço","Itens indisponíveis
Banheira de hidromassagem
Varanda
Piscina privativa
Armários nos banheiros
Ar condicionado
Chuveiro a gás
Apartamento cobertura
Fogão incluso
Geladeira inclusa
Banheiro adaptado
Closet
Cozinha americana
Home-office
Jardim
Somente uma casa no terreno
Garden/Área Privativa","N/A","N/A","N/A","N/A"
"https://www.quintoandar.com.br/imovel/894801967/alugar/casa-1-quarto-vila-cordeiro-sao-paulo","quintoandar","2025-03-22 14:07:41.409215","Casa para alugar com 50m², 1 quarto e sem vaga","Publicado há 23 dias","N/A","R$ 1.800","Incluso","R$ 200","R$ 30","R$ 46","R$ 2.076","Rua Francisco Dias Velho
Vila Cordeiro, São Paulo","50 m²","1 quarto","1 banheiro","-","-","Aceita pet","Sem mobília","Não próx.","Gratuito
Entenda se é um bom negócio com a análise QPreço
Tenha acesso a informações exclusivas sobre o mercado imobiliário para tomar a melhor decisão
Desbloquear análise completa
Faixa de preço estimada
R$
R$
Saiba como estimamos os valores
Compare com imóveis da região
R$ 1.829
R$ 1.754
43m²
1 quarto
R$ 2.154
R$ 1.900
48m²
1 quarto
R$ 2.150
R$ 1.900
48m²
1 quarto
R$ 2.131
R$ 1.886
40m²
1 quarto","N/A","N/A","N/A","N/A","N/A"
"https://www.quintoandar.com.br/imovel/893192167/alugar/casa-2-quartos-chacara-santo-antonio-zona-sul-sao-paulo","quintoandar","2025-03-22 14:07:41.409215","Casa para alugar com 30m², 2 quartos e sem vaga","Publicado há 1 mês","","R$ 2.210","Incluso","R$ 0","R$ 37","R$ 57","R$ 2.304","Rua Bela Vista
Chácara Santo Antônio (zona Sul), São Paulo","30 m²","2 quartos","1 banheiro","-","-","Aceita pet","Sem mobília","Metrô próx.","Itens disponíveis
Varanda
Armários nos banheiros","Itens indisponíveis
Banheira de hidromassagem
Box
Piscina privativa
Armários no quarto
Armários na cozinha
Ar condicionado
Chuveiro a gás
Apartamento cobertura
Fogão incluso
Geladeira inclusa","N/A","N/A","N/A","N/A"
"https://www.quintoandar.com.br/imovel/894742107/alugar/apartamento-1-quarto-bela-vista-sao-paulo","quintoandar","2025-03-22 14:07:41.409215","Apartamento para alugar com 25m², 1 quarto e sem vaga","Publicado há 1 mês","Imóvel aconchegante para alugar com 1 quarto, sendo 1 suíte, e 1 banheiro no total. O condomínio fica localizado em Rua Santo Amaro no bairro Bela Vista em São Paulo. Está bem localizado, próximo a pontos de interesse de Bela Vista, tais como Estação Borba Gato, Universidade Paulista, Coreo Dança, Interagir, DeRose Method Verbo Divino e Estação Brooklin.","R$ 1.260","R$ 350","R$ 0","R$ 16","R$ 32","R$ 1.658","Rua Santo Amaro
Bela Vista, São Paulo","25 m²","1 quarto","1 banheiro","-","Até 3° andar","Aceita pet","Sem mobília","Metrô próx.","Itens disponíveis
Apartamento cobertura","Itens indisponíveis
Banheira de hidromassagem
Box
Varanda
Piscina privativa
Armários no quarto
Armários nos banheiros
Armários na cozinha
Ar condicionado
Chuveiro a gás
Fogão incluso
Geladeira inclusa
Banheiro adaptado
Closet
Cozinha americana
Home-office
Jardim
Quartos e corredores com portas amplas
Quintal
Somente uma casa no terreno
Área de serviço
Garden/Área Privativa","","","","N/A"
"https://www.quintoandar.com.br/imovel/894648435/alugar/apartamento-1-quarto-chacara-santo-antonio-zona-sul-sao-paulo","quintoandar","2025-03-22 14:07:41.409215","Apartamento para alugar com 24m², 1 quarto e sem vaga","Publicado há 1 mês","Imóvel aconchegante para alugar com 1 quarto e 1 banheiro no total. O condomínio fica localizado em Rua José de Carvalho no bairro Chácara Santo Antônio (zona Sul) em São Paulo. Está bem localizado, próximo a pontos de interesse de Chácara Santo Antônio (zona Sul), tais como Coreo Dança, Interagir, Universidade Paulista, DeRose Method Verbo Divino, Estação Borba Gato e Colégio Belo Futuro Internacional.","R$ 1.938","R$ 210","R$ 0","R$ 25","R$ 50","R$ 2.223","Rua José de Carvalho
Chácara Santo Antônio (zona Sul), São Paulo","24 m²","1 quarto","1 banheiro","-","Até 3° andar","Não aceita","Sem mobília","Metrô próx.","Itens disponíveis
Varanda
Cozinha americana
Somente uma casa no terreno","Itens indisponíveis
Banheira de hidromassagem
Box
Piscina privativa
Armários no quarto
Armários nos banheiros
Armários na cozinha
Ar condicionado
Chuveiro a gás
Apartamento cobertura
Fogão incluso
Geladeira inclusa
Banheiro adaptado
Closet
Home-office
Jardim
Quartos e corredores com portas amplas
Quintal
Área de serviço
Garden/Área Privativa","","","","Você também pode comprar esse imóvel. Valor de compra: R$ 299.000"
"https://www.quintoandar.com.br/imovel/893070938/alugar/kitnet-1-quarto-chacara-santo-antonio-zona-sul-sao-paulo","quintoandar","2025-03-22 14:07:41.409215","Studio para alugar com 10m², 1 quarto e sem vaga","Publicado há 24 dias","Imóvel aconchegante para alugar com 1 quarto e 1 banheiro no total. O condomínio fica localizado em Rua Branco de Morais no bairro Chácara Santo Antônio (zona Sul) em São Paulo. Está bem localizado, próximo a pontos de interesse de Chácara Santo Antônio (zona Sul), tais como Interagir, Universidade Paulista, Shopping Morumbi, DeRose Method Verbo Divino, Coreo Dança e Estação Granja Julieta.","R$ 1.250","R$ 0","R$ 0","R$ 16","R$ 32","R$ 1.298","Rua Branco de Morais
Chácara Santo Antônio (zona Sul), São Paulo","10 m²","1 quarto","1 banheiro","-","Até 3° andar","Não aceita","Mobiliado","Metrô próx.","Itens disponíveis
Armários no quarto
Armários na cozinha
Geladeira inclusa","Itens indisponíveis
Banheira de hidromassagem
Box
Varanda
Piscina privativa
Armários nos banheiros
Ar condicionado
Chuveiro a gás
Apartamento cobertura
Fogão incluso","","","","N/A"
"https://www.quintoandar.com.br/imovel/892962328/alugar/casa-1-quarto-vila-tramontano-sao-paulo","quintoandar","2025-03-22 14:07:41.409215","Casa para alugar com 40m², 1 quarto e sem vaga","Publicado há 4 meses","","R$ 1.500","R$ 0","R$ 0","R$ 25","R$ 38","R$ 1.563","Rua Sílvio Tramontano
Vila Tramontano, São Paulo","40 m²","1 quarto","1 banheiro","-","-","Aceita pet","Sem mobília","Não próx.","Gratuito
Entenda se é um bom negócio com a análise QPreço
Tenha acesso a informações exclusivas sobre o mercado imobiliário para tomar a melhor decisão
Desbloquear análise completa
Faixa de preço estimada
Saiba como estimamos os valores","N/A","N/A","N/A","N/A","N/A"
"https://www.quintoandar.com.br/imovel/893552607/alugar/kitnet-1-quarto-campo-belo-sao-paulo","quintoandar","2025-03-22 14:07:41.409215","Studio para alugar com 20m², 1 quarto e sem vaga","Publicado há 1 mês","Imóvel aconchegante para alugar com 1 quarto e 1 banheiro no total. Este imóvel está bem equipado, é ideal para quem procura conforto e comodidade. O condomínio fica localizado em Rua Conde de Porto Alegre no bairro Campo Belo em São Paulo. Está bem localizado, próximo a pontos de interesse de Campo Belo, tais como DeRose Method Campo Belo, Escolinha das Acácias, Beatíssima Virgem Maria, DeRose Method Brooklin, Escola Waldorf Rudolf Steiner e Diko Pataca.","R$ 1.500","R$ 300","R$ 0","R$ 20","R$ 38","R$ 1.858","Rua Conde de Porto Alegre
Campo Belo, São Paulo","20 m²","1 quarto","1 banheiro","-","Até 3° andar","Não aceita","Mobiliado","Não próx.","Itens disponíveis
Box
Armários no quarto
Armários nos banheiros
Armários na cozinha
Geladeira inclusa
Cozinha americana
Home-office
Quintal","Itens indisponíveis
Banheira de hidromassagem
Varanda
Piscina privativa
Ar condicionado
Chuveiro a gás
Apartamento cobertura
Fogão incluso
Banheiro adaptado
Closet
Jardim
Quartos e corredores com portas amplas
Somente uma casa no terreno
Área de serviço","","","","N/A"
